,movie_id,title,company,budget,genre,gross,rating,release_time,runtime,year,director_id
0,2,Stand by Me,Columbia Pictures Corporation,8000000.0,Adventure,52287400.0,R,1986-08-22,89,1986,0
1,3,Ferris Bueller's Day Off,Paramount Pictures,6000000.0,Comedy,70136400.0,PG-13,1986-06-11,103,1986,1
2,4,Top Gun,Paramount Pictures,15000000.0,Action,179801000.0,PG,1986-05-16,110,1986,2
3,5,Aliens,Twentieth Century Fox Film Corporation,18500000.0,Action,85160200.0,R,1986-07-18,137,1986,3
4,6,Flight of the Navigator,Walt Disney Pictures,9000000.0,Adventure,18564600.0,PG,1986-08-01,90,1986,4
5,7,Platoon,Hemdale,6000000.0,Drama,138531000.0,R,1987-02-06,120,1986,5
6,8,Labyrinth,Henson Associates (HA),25000000.0,Adventure,12729900.0,PG,1986-06-27,101,1986,6
7,10,Pretty in Pink,Paramount Pictures,9000000.0,Comedy,40471700.0,PG-13,1986-02-28,96,1986,8
8,11,The Fly,SLM Production Group,15000000.0,Drama,40456600.0,R,1986-08-15,96,1986,9
9,12,Crocodile Dundee,Rimfire Films,8800000.0,Adventure,174635000.0,PG-13,1986-09-26,97,1986,10
10,13,Highlander,Thorn EMI Screen Entertainment,16000000.0,Action,5900000.0,R,1986-03-07,116,1986,11
11,15,Big Trouble in Little China,Twentieth Century Fox Film Corporation,25000000.0,Action,11100000.0,PG-13,1986-07-02,99,1986,13
12,16,Manhunter,De Laurentiis Entertainment Group (DEG),15000000.0,Crime,8620930.0,R,1986-08-15,120,1986,14
13,17,9 Weeks,Producers Sales Organization (PSO),17000000.0,Drama,6734840.0,R,1986-02-21,117,1986,15
14,19,Little Shop of Horrors,"Geffen Company, The",25000000.0,Comedy,38747400.0,PG-13,1986-12-19,94,1986,17
15,21,Howard the Duck,Universal Pictures,35000000.0,Action,16295800.0,PG,1986-08-01,110,1986,19
16,22,Critters,New Line Cinema,2000000.0,Action,13167200.0,PG-13,1986-04-11,82,1986,20
17,24,The Texas Chainsaw Massacre 2,Cannon Films,4700000.0,Comedy,8025870.0,UNRATED,1986-08-22,89,1986,22
18,25,Heartbreak Ridge,Jay Weston Productions,15000000.0,Action,42724000.0,R,1986-12-05,130,1986,23
19,26,Star Trek IV: The Voyage Home,Paramount Pictures,25000000.0,Adventure,109713000.0,PG,1986-11-26,119,1986,24
20,27,Short Circuit,TriStar Pictures,0.0,Comedy,40697800.0,PG,1986-05-09,98,1986,25
21,31,River's Edge,Hemdale,1900000.0,Crime,4600000.0,R,1987-05-08,99,1986,29
22,32,Three Amigos!,L.A. Films,25000000.0,Comedy,39246700.0,PG,1986-12-12,104,1986,30
23,34,Betty Blue,Gaumont,0.0,Drama,2003820.0,Not specified,1986-11-07,120,1986,32
24,36,The Color of Money,Touchstone Pictures,13800000.0,Drama,52294000.0,R,1986-10-17,119,1986,34
25,39,The Hitcher,HBO Films,6000000.0,Thriller,5844870.0,R,1986-02-21,97,1986,37
26,41,Jason Lives: Friday the 13th Part VI,Paramount Pictures,3000000.0,Horror,19472100.0,R,1986-08-01,86,1986,39
27,43,An American Tail,Universal Pictures,0.0,Animation,47483000.0,G,1986-11-21,80,1986,41
28,44,Sid and Nancy,Initial Pictures,4000000.0,Biography,2826520.0,R,1986-11-07,112,1986,42
